source_region,source_sector,destination_country,destination_value,destination_share,model_total,residual_to_model_total,indicator,source_sector_value,unit
SE,Other business services (74),SE,16689.433252155042,0.3835535422342037,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),US,2875.8124372576494,0.0660914022930599,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),FR,2103.5228814496895,0.048342783134744646,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),CN,1898.2871596971129,0.043626092826460544,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),DE,1693.562715257867,0.03892115260109592,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),CH,1268.2812639409349,0.02914741105849144,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),GB,1236.6614517736139,0.028420730243252243,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),DK,1204.8360231348374,0.027689323987383826,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),WA,1152.8647275102137,0.026494929053166905,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),NO,1010.6657776603103,0.023226938457388484,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),TW,891.0337050656715,0.020477575760930945,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),WM,828.8715601210209,0.019048976567287386,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),CA,728.6181059833822,0.01674496978199164,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),JP,623.1690904235467,0.01432155954199071,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),FI,550.3398307370553,0.01264781064297154,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),KR,548.3119032847329,0.012601205180342554,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),IN,539.2887425245943,0.012393836528608804,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),IT,536.6659759627353,0.01233356058094446,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),WL,530.7418096792487,0.012197412460844437,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),PL,476.7320660351418,0.010956170282223211,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),NL,468.9437959859294,0.01077718166588621,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),TR,467.47149011173644,0.01074334539806531,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),RU,460.7159427840599,0.010588090628888137,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),BE,445.21805488092747,0.010231920966768096,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),ES,419.636183879556,0.00964400302543911,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),WF,404.82925568376425,0.009303712874581527,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),BR,366.60478015724476,0.008425244878291237,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),MX,339.6082369844158,0.007804815196493618,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),WE,310.39541760939755,0.007133451455098181,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),AU,276.6319806728908,0.006357506242379461,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),ID,253.88006544344955,0.005834625833739001,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),AT,244.8019218211474,0.0056259935757924815,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),ZA,190.0113399071343,0.004366806313008742,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),IE,184.15519298427154,0.004232221401575761,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),CZ,177.36176331504845,0.004076096027263665,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),RO,155.86556940379344,0.0035820743792756757,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),PT,143.675605736642,0.003301926834802382,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),HU,141.26595228482535,0.0032465486141619766,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),GR,132.21661314320252,0.003038578335590661,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),SK,103.01264834498063,0.0023674180884807345,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
SE,Other business services (74),LT,94.66820021335117,0.00217564748785457,43512.65576883714,0.0,economic_importance,43512.65576886488,M.EUR
